0,127,0,0,127,0
0,127,0,0,127,32
0,127,0,0,127,64
0,127,0,0,127,96
0,127,0,0,127,112
0,127,0,0,128,0
0,127,0,0,128,32
0,127,0,0,128,64
0,127,0,0,128,96
0,127,0,0,128,112
1,127,0,0,127,0
1,127,0,0,127,32
1,127,0,0,127,64
1,127,0,0,127,96
1,127,0,0,127,112
1,127,0,0,128,0
1,127,0,0,128,32
1,127,0,0,128,64
1,127,0,0,128,96
1,127,0,0,128,112
1,127,0,1,127,0
1,127,0,1,127,32
1,127,0,1,127,64
1,127,0,1,127,96
1,127,0,1,127,112
1,127,0,1,128,0
1,127,0,1,128,32
1,127,0,1,128,64
1,127,0,1,128,96
1,127,0,1,128,112
0,0,0,0,127,0
1,0,0,0,127,0
0,127,0,0,0,0
0,127,0,1,0,0
0,255,0,0,127,0
1,255,0,0,127,0
0,127,0,0,255,0
0,127,0,1,255,0
0,255,1,0,127,0
1,255,1,0,127,0
0,127,0,0,255,1
0,127,0,1,255,1
0,124,0,0,130,0
0,124,0,1,130,0
0,125,0,0,129,0
0,125,0,1,129,0
0,123,76,0,130,32
0,123,76,1,130,32
0,122,76,0,131,32
0,122,76,1,131,32
